	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk1.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk2.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk3.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk4.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d	Trimmed_Sub016_walk5.c3d
	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	3.846112	0.593792	-5.648714	-0.007607	-0.037428	-0.001785	0.006215	-0.007340	0.000496	28.108786	2.297318	0.835077	-0.227819	0.045803	-0.004017	-0.044816	0.008265	0.005366	-3.386460	0.181890	-3.999604	-0.155113	-0.017716	-0.012818	0.400434	0.001256	-0.008632	4.119462	1.064663	-5.000714	-0.004486	-0.034548	-0.002681	0.003395	-0.006358	0.001681	28.803595	1.149679	-0.715106	-0.267276	0.077047	0.008190	-0.010862	-0.008636	-0.011957	-2.980982	-0.152419	-2.633341	-0.133646	-0.015701	-0.011574	0.382700	-0.003407	-0.011777	5.297655	1.962737	-5.066524	-0.029499	-0.040794	0.000821	0.027029	-0.002410	-0.000334	28.767576	1.088096	-0.929248	-0.459448	0.099372	-0.008498	0.089337	-0.023497	0.010558	-3.820613	-0.057146	-4.005121	-0.270496	-0.006684	-0.018484	0.660193	-0.001281	-0.007640	5.590301	1.337402	-5.347455	-0.019024	-0.038349	-0.002978	0.014397	0.008164	0.000867	29.355751	1.770926	-1.172382	-0.426773	0.100430	0.005532	0.138964	-0.039808	-0.007429	-3.509288	0.489334	-4.359118	-0.239179	-0.009354	-0.016329	0.541804	-0.001808	-0.006356	5.117769	2.049014	-5.438695	-0.002334	-0.036990	-0.002476	0.001405	-0.003694	0.000265	28.032028	0.093584	-2.402606	-0.212510	0.072219	0.003341	-0.002713	-0.003486	-0.004300	-2.926762	-0.012932	-4.819386	-0.146622	-0.011813	-0.012588	0.355387	-0.001238	-0.006086
2	3.446430	0.671178	-5.553329	-0.042764	-0.033985	-0.000414	0.052983	-0.005805	0.000084	28.152967	2.503069	1.347271	-0.671064	0.120333	-0.011866	-0.080788	0.015007	0.017461	-4.428851	0.217163	-4.259067	-0.375480	0.022412	-0.022608	1.023143	-0.000449	-0.014662	3.756168	1.159115	-4.789548	-0.037769	-0.031470	-0.000736	0.043076	-0.007670	0.000347	28.782215	1.480067	-0.218712	-0.682064	0.149730	-0.006683	0.071763	-0.022580	0.011079	-4.082303	-0.229637	-3.016670	-0.344375	0.019287	-0.022477	0.990163	0.005918	-0.021308	4.882960	1.991907	-4.925316	-0.065851	-0.033893	0.002107	0.088613	-0.001276	-0.000770	28.675524	1.402786	-0.541142	-0.923196	0.203041	-0.014869	0.257248	-0.051238	0.021673	-4.732303	-0.125109	-4.170073	-0.505708	0.046232	-0.031648	1.271698	0.011265	-0.014116	5.227711	1.259265	-5.264817	-0.063616	-0.033098	-0.001918	0.076341	0.007930	0.000169	29.202784	2.163802	-0.777093	-0.951684	0.209097	0.006611	0.418347	-0.084150	-0.010019	-4.367314	0.407093	-4.490318	-0.509993	0.043490	-0.029547	1.181078	0.012582	-0.008034	4.817232	2.070178	-5.418746	-0.038126	-0.034921	-0.000186	0.037899	-0.000221	-0.000013	28.031509	0.363406	-1.952352	-0.628105	0.165791	-0.011030	0.013965	-0.015082	0.016316	-3.884233	-0.048989	-4.997977	-0.356297	0.023940	-0.023104	0.923893	0.003286	-0.010073
3	2.874986	0.737594	-5.487011	-0.054544	-0.030110	0.000365	0.092307	-0.004478	-0.000051	28.150372	2.750206	1.887158	-0.986657	0.180538	-0.011840	0.023765	0.011167	0.018431	-5.493454	0.235575	-4.496653	-0.523619	0.066352	-0.029900	1.413259	0.001808	-0.016552	3.240983	1.274835	-4.636039	-0.058634	-0.027699	0.001145	0.091085	-0.008803	-0.000386	28.692923	1.852558	0.329301	-1.054914	0.220160	-0.014745	0.305806	-0.039007	0.026538	-5.160091	-0.334325	-3.364496	-0.530785	0.064504	-0.033842	1.456075	0.024525	-0.027379	4.309537	2.014794	-4.806583	-0.063230	-0.028237	0.002051	0.112871	-0.001110	-0.000567	28.540840	1.751959	-0.096382	-1.141681	0.250441	-0.015968	0.464891	-0.064714	0.025594	-5.642246	-0.207056	-4.339006	-0.601668	0.087141	-0.038956	1.464588	0.024582	-0.016231	4.695589	1.170848	-5.261390	-0.070503	-0.029120	-0.000524	0.117895	0.006641	-0.000068	28.993792	2.586511	-0.320781	-1.246349	0.256417	0.005573	0.743106	-0.099012	-0.009473	-5.215687	0.290912	-4.574892	-0.650755	0.082863	-0.037597	1.442590	0.029999	-0.004386	4.362665	2.057718	-5.442471	-0.055332	-0.032283	0.001004	0.078508	0.001871	0.000135	28.004412	0.676897	-1.451819	-0.960145	0.248451	-0.016307	0.108355	-0.031623	0.026534	-4.875513	-0.093533	-5.152365	-0.516099	0.066169	-0.032647	1.344061	0.010313	-0.011317
4	2.124997	0.791844	-5.464605	-0.003080	-0.030659	0.001737	0.006598	-0.003763	0.000013	28.076929	3.030306	2.436564	-0.774181	0.108910	-0.022578	0.173433	-0.000240	0.035811	-6.517682	0.237656	-4.684229	-0.387834	0.052901	-0.021589	0.979448	0.002987	-0.008260	2.568925	1.415324	-4.555525	-0.021274	-0.026822	0.003244	0.041828	-0.010648	-0.000388	28.522657	2.251780	0.915345	-0.951031	0.172301	-0.020336	0.475919	-0.031945	0.038431	-6.164110	-0.460760	-3.650534	-0.458515	0.070258	-0.028821	1.144326	0.029496	-0.017332	3.575343	2.036752	-4.730441	0.005118	-0.028131	0.003353	-0.011451	-0.001556	-0.000432	28.347017	2.123018	0.391991	-0.780668	0.143472	-0.018013	0.449680	-0.036285	0.030743	-6.497953	-0.298856	-4.486852	-0.383326	0.069497	-0.023863	0.853311	0.020676	-0.007456	3.987047	1.086025	-5.351944	-0.004116	-0.030836	0.002394	0.008798	0.005610	0.000954	28.713572	3.023448	0.188484	-0.903080	0.133634	-0.013000	0.710444	-0.046212	0.023643	-6.003640	0.149407	-4.597752	-0.446102	0.057405	-0.024690	0.891964	0.022767	0.002009	3.745639	2.021593	-5.520657	-0.010719	-0.032788	0.000858	0.019912	0.003138	0.000254	27.929447	1.023969	-0.913208	-0.806734	0.185659	-0.021042	0.205651	-0.028823	0.036477	-5.842961	-0.143562	-5.265309	-0.407381	0.061216	-0.026930	1.007788	0.009770	-0.005588
5	1.202135	0.833277	-5.498821	0.067107	-0.030389	0.002645	-0.172595	-0.002870	0.000452	27.914841	3.329674	2.973431	-0.371400	-0.005332	-0.037490	0.171932	0.000319	0.057866	-7.450663	0.226671	-4.790605	-0.154714	0.018936	-0.006856	0.347119	0.001069	-0.000889	1.745882	1.580634	-4.561131	0.050554	-0.027880	0.004456	-0.118678	-0.012995	0.000567	28.264227	2.658363	1.522560	-0.490395	0.048862	-0.022369	0.354314	-0.008411	0.042750	-7.056581	-0.600277	-3.847712	-0.199714	0.044402	-0.009506	0.433541	0.018376	-0.003099	2.689617	2.062054	-4.719910	0.074715	-0.026874	0.003716	-0.195507	-0.002205	0.000305	28.081165	2.500971	0.908113	-0.377555	0.046332	-0.013445	0.292669	-0.010715	0.023525	-7.258841	-0.395500	-4.583111	-0.147165	0.056716	-0.006383	0.283650	0.015990	-0.000780	3.109380	1.019309	-5.548206	0.067392	-0.029232	0.002233	-0.173666	0.003052	0.001536	28.352093	3.455774	0.738496	-0.473986	0.019792	-0.024899	0.472127	-0.005493	0.046681	-6.694763	-0.005443	-4.541646	-0.201326	0.038670	-0.009863	0.344214	0.014855	0.003187	2.967234	1.974270	-5.663587	0.054596	-0.034427	0.000613	-0.124208	0.003455	0.000295	27.788450	1.391316	-0.351713	-0.460072	0.053036	-0.033832	0.201401	-0.009104	0.060246	-6.737959	-0.197120	-5.315925	-0.197031	0.028392	-0.013493	0.440031	0.004164	-0.000135
6	0.130359	0.863711	-5.602672	0.102131	-0.027606	0.003308	-0.296734	-0.001858	0.001221	27.654158	3.630300	3.474928	-0.279504	-0.025271	-0.037097	0.201463	0.002561	0.053138	-8.260656	0.208748	-4.783133	-0.089254	0.032179	-0.002068	0.170242	0.000555	0.000412	0.792223	1.766320	-4.665663	0.093595	-0.023307	0.003707	-0.248441	-0.011971	0.001521	27.916536	3.050734	2.132137	-0.279999	0.016968	-0.014068	0.263705	-0.002278	0.026240	-7.815517	-0.739484	-3.928577	-0.079390	0.060304	-0.001053	0.143956	0.021200	0.000022	1.676879	2.095229	-4.798894	0.104964	-0.023141	0.004377	-0.306963	-0.002717	0.001572	27.735954	2.868378	1.435777	-0.311229	0.040401	-0.006792	0.306253	-0.007675	0.011782	-7.901401	-0.489940	-4.595601	-0.095902	0.081551	-0.002022	0.153107	0.018725	0.000291	2.089401	0.984867	-5.857968	0.097859	-0.025270	0.001809	-0.284663	0.000006	0.001793	27.906519	3.862805	1.314231	-0.383986	0.005781	-0.022956	0.461966	-0.001086	0.042926	-7.272781	-0.158423	-4.389409	-0.144520	0.063571	-0.006769	0.203689	0.020197	0.004046	2.042459	1.931030	-5.880981	0.092306	-0.033304	-0.000292	-0.242893	0.002305	-0.000199	27.568632	1.762722	0.214402	-0.349541	0.017962	-0.035363	0.226159	-0.003090	0.062366	-7.526062	-0.252013	-5.280267	-0.119272	0.037563	-0.009044	0.229421	0.004152	0.002245
