	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk1.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk2.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk3.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk4.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d	Walk5.c3d
	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower	RightAnkleAngle	RightAnkleAngle	RightAnkleAngle	RightAnkleMoment	RightAnkleMoment	RightAnkleMoment	RightAnklePower	RightAnklePower	RightAnklePower	RightHipAngle	RightHipAngle	RightHipAngle	RightHipMoment	RightHipMoment	RightHipMoment	RightHipPower	RightHipPower	RightHipPower	RightKneeAngle	RightKneeAngle	RightKneeAngle	RightKneeMoment	RightKneeMoment	RightKneeMoment	RightKneePower	RightKneePower	RightKneePower
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	3.475191	5.014881	1.09111	-0.046715	-0.008333	-0.07074	0.049503	-0.016631	0.00159	20.274483	-0.068824	2.065343	-0.692498	0.154821	-0.038488	-0.276037	-0.115421	0.002417	4.826614	2.538923	-3.071712	-0.427729	0.032971	-0.011665	1.292597	-0.049851	0.015972	3.879584	3.770037	0.122031	-0.041186	-0.008303	-0.021067	0.026648	-0.012315	-0.011561	20.55843	0.50018	0.978084	-0.506758	0.07511	-0.010796	-0.145246	-0.028475	0.000709	3.751007	2.244665	-4.404103	-0.304365	0.007591	0.016581	0.954869	-0.065754	0.001846	3.924138	3.291698	-1.031443	-0.019617	-0.012647	-0.023348	0.017701	-0.00936	-0.013732	20.49497	-0.074218	1.318037	-0.267088	0.018012	-0.020978	-0.091702	-0.002705	0.004876	6.474171	2.779416	-4.094377	-0.214088	-0.019426	-0.000156	0.475701	-0.038915	0.006789	3.795754	3.015226	-1.25767	-0.028161	-0.029199	-0.067623	0.030205	-0.040751	-0.053494	21.962984	1.900709	1.522445	-0.55072	0.041132	-0.056923	-0.294921	0.001549	0.045277	6.29344	2.690279	-6.068364	-0.32338	-0.012341	-0.029388	0.993986	-0.114526	0.017383	3.854852	3.600882	-1.044124	-0.054916	-0.016311	-0.069348	0.059029	-0.01957	-0.031984	21.441717	-0.598446	1.181184	-0.846452	0.13433	-0.073635	-0.162428	-0.011902	0.043474	4.250171	2.090071	-3.076828	-0.479629	0.009953	-0.012597	1.402877	-0.088668	0.004087
2	2.951633	4.440744	1.083037	-0.071573	-0.001997	-0.070915	0.110386	-0.012749	-0.005101	20.418417	0.277179	2.065459	-1.272797	0.244318	-0.022964	-0.463113	-0.234803	-0.016037	3.574133	2.486215	-2.834556	-0.702137	0.065235	0.026168	2.12761	-0.07756	0.013461	3.494174	3.260616	-0.140765	-0.100359	-0.000674	-0.023532	0.117719	-0.011888	-0.011051	20.661705	0.864213	1.226899	-1.434035	0.234081	0.018573	-0.302366	-0.128252	-0.053442	2.347146	2.1079	-3.793626	-0.763487	0.064649	0.073833	2.332738	-0.114089	-0.029599	3.460744	2.968683	-1.288527	-0.063198	-0.009222	-0.024748	0.090284	-0.015374	-0.011519	20.639063	0.059949	1.413047	-0.942446	0.129513	-0.005203	-0.333325	-0.029857	-0.008656	5.423071	2.786527	-3.804434	-0.551554	0.012943	0.048713	1.407192	-0.083123	-0.005325	3.289361	2.400059	-1.591799	-0.061638	-0.023156	-0.072907	0.097405	-0.046054	-0.058658	22.155266	2.133624	1.815902	-1.18046	0.122512	-0.031153	-0.495323	-0.008732	0.014965	4.885258	2.625277	-5.861018	-0.631684	0.012575	0.008833	1.971786	-0.173712	0.006993	3.311094	3.227824	-1.252038	-0.055827	-0.005346	-0.069657	0.092558	-0.012477	-0.025915	21.525507	-0.320461	1.450874	-1.233499	0.236239	-0.052495	-0.232304	-0.082041	0.008513	2.960769	2.027698	-3.016667	-0.651761	0.052616	0.011098	1.854795	-0.094048	-0.005372
3	2.235318	3.795031	1.021057	0.009563	0.002018	-0.072283	-0.009477	0.005214	-0.013011	20.538492	0.712962	2.076755	-0.802575	0.15569	-0.042161	-0.23976	-0.187177	0.00579	2.360246	2.381042	-2.56237	-0.415246	0.028762	-0.018295	1.162625	-0.060619	0.028073	2.860443	2.685758	-0.414644	-0.009424	0.004068	-0.018567	0.018733	0.005023	-0.01115	20.726984	1.30524	1.476339	-0.913705	0.11998	-0.003723	-0.124293	-0.094782	-0.013416	1.043808	1.943647	-3.222767	-0.445806	0.020685	0.033582	1.208277	-0.078616	-0.009934	2.755128	2.536808	-1.523412	-0.031535	-0.002485	-0.027119	0.064822	-0.006964	-0.01149	20.77968	0.288403	1.562346	-1.00168	0.143299	-0.005489	-0.338701	-0.056161	-0.01542	4.296713	2.762874	-3.614496	-0.548986	0.013514	0.045029	1.435507	-0.095378	-0.001745	2.542618	1.683496	-1.942986	0.011144	-0.016947	-0.071229	-0.014857	-0.028847	-0.059296	22.290977	2.418746	2.127398	-0.812754	0.029661	-0.072831	-0.232912	-0.01269	0.076959	3.534621	2.567281	-5.71297	-0.402809	-0.03574	-0.026834	1.126265	-0.150558	0.005494	2.526022	2.813182	-1.418525	0.041911	-0.005588	-0.070484	-0.079355	-0.003532	-0.015528	21.599209	0.050371	1.702427	-0.5822	0.085996	-0.082235	-0.103487	-0.063083	0.066645	1.751348	1.935804	-3.076709	-0.27299	-0.005207	-0.04328	0.673374	-0.07042	-0.024161
4	1.332611	3.118259	0.897276	0.0793	0.004232	-0.075505	-0.177522	0.020741	-0.024544	20.624985	1.224777	2.097772	-0.300618	0.074861	-0.061764	-0.064606	-0.110039	0.036694	1.247987	2.224938	-2.252177	-0.12059	0.002107	-0.061642	0.283569	-0.030047	0.050423	1.969922	2.089537	-0.694667	0.079104	0.009213	-0.018186	-0.176314	0.02615	-0.013509	20.756708	1.809421	1.720127	-0.227269	0.013461	-0.026479	-0.016359	-0.022084	0.030088	-0.092099	1.755314	-2.70132	-0.053891	-0.010119	-0.01474	0.11269	-0.021293	0.017345	1.81317	2.023085	-1.718385	0.037566	-0.00347	-0.028875	-0.087872	0.001323	-0.00984	20.906778	0.612454	1.753842	-0.658602	0.056783	-0.03315	-0.2017	-0.041812	0.022701	3.166621	2.710067	-3.523776	-0.330138	-0.027266	0.00841	0.807873	-0.093367	-0.000203	1.558668	0.906295	-2.285396	0.083542	-0.012714	-0.07371	-0.201563	-0.007443	-0.057218	22.366266	2.753578	2.437358	-0.33346	-0.056078	-0.115846	-0.051591	0.001602	0.144379	2.309288	2.51424	-5.632176	-0.121697	-0.075241	-0.069615	0.238785	-0.104394	-0.000241	1.508402	2.380989	-1.512789	0.097863	-0.000466	-0.07787	-0.239442	0.009424	0.001933	21.660084	0.498855	1.923562	-0.202523	0.05035	-0.08538	-0.032728	-0.05223	0.076667	0.676423	1.824735	-3.263138	-0.049409	-0.003983	-0.077183	0.09019	-0.02213	-0.053131
5	0.271203	2.454935	0.696074	0.09655	0.015893	-0.077291	-0.248918	0.045355	-0.040412	20.674137	1.796515	2.131375	-0.292315	0.176177	-0.020762	-0.03756	-0.218286	-0.024383	0.277405	2.020463	-1.895506	-0.089036	0.064973	-0.062734	0.202819	0.032722	0.070468	0.849191	1.527115	-0.993274	0.093828	0.022187	-0.017777	-0.249582	0.046842	-0.01409	20.758192	2.361145	1.957795	-0.238869	0.148542	0.027034	-0.006787	-0.115435	-0.074056	-1.024167	1.544148	-2.223564	-0.033485	0.07093	-0.012603	0.086731	0.046802	0.02555	0.666114	1.464471	-1.866565	0.080556	0.003951	-0.033473	-0.222845	0.021307	-0.006354	21.014133	1.028257	1.977323	-0.501806	0.114823	-0.007881	-0.131652	-0.078288	-0.019064	2.089254	2.62807	-3.518815	-0.212863	0.007993	-0.007634	0.493145	-0.042985	-0.0036	0.370755	0.119792	-2.600379	0.10816	0.00009	-0.080418	-0.301452	0.026251	-0.051101	22.385019	3.134342	2.729692	-0.287895	0.021533	-0.088393	-0.010893	-0.022685	0.093027	1.250714	2.460512	-5.616098	-0.072585	-0.031367	-0.077127	0.121316	-0.049127	-0.008496	0.302906	1.959285	-1.521196	0.108322	0.011186	-0.082675	-0.298921	0.025285	0.022656	21.70797	1.005627	2.10745	-0.286586	0.177842	-0.039647	-0.041339	-0.158747	-0.002193	-0.236181	1.706319	-3.562783	-0.069403	0.070949	-0.074789	0.143127	0.037318	-0.075191
6	-0.899699	1.849262	0.39321	0.109066	0.028498	-0.068322	-0.304611	0.066066	-0.055448	20.68791	2.410203	2.184326	-0.434958	0.250503	0.017818	-0.02479	-0.306351	-0.087485	-0.537146	1.772067	-1.477944	-0.127795	0.108794	-0.047828	0.250411	0.064089	0.07923	-0.437512	1.05228	-1.337533	0.102182	0.034818	-0.00812	-0.300081	0.058554	-0.009297	20.742044	2.944995	2.193403	-0.414598	0.208735	0.059066	-0.005051	-0.170909	-0.132683	-1.751406	1.310982	-1.770584	-0.089219	0.107	0.003436	0.152924	0.059796	0.015982	-0.629922	0.903297	-1.979816	0.107046	0.018542	-0.030533	-0.32321	0.049657	-0.002733	21.098867	1.527066	2.224068	-0.518571	0.205175	0.033803	-0.112882	-0.148409	-0.102617	1.100911	2.515582	-3.569152	-0.183115	0.058046	-0.004168	0.406769	0.007047	-0.004924	-0.959683	-0.623063	-2.882969	0.131219	0.017003	-0.076287	-0.396206	0.064586	-0.038822	22.357082	3.556002	2.992001	-0.384132	0.14737	-0.027752	0.017871	-0.087871	-0.009715	0.371387	2.398354	-5.647887	-0.088067	0.029955	-0.06553	0.158394	-0.00372	-0.012173	-1.015437	1.576623	-1.453028	0.13686	0.021179	-0.077176	-0.402319	0.037801	0.036119	21.744402	1.551681	2.252362	-0.337566	0.208424	-0.02203	-0.044352	-0.207305	-0.027464	-0.98761	1.589284	-3.941461	-0.05852	0.087159	-0.070271	0.106966	0.049256	-0.081072
